,symtom
0,"4,5번째 손가락 굽음"
1,O자 다리
2,PSA상승
3,X자 다리
4,가늘어지는 팔다리
5,가래
6,가슴 답답
7,가슴 두근거림
8,가슴 쓰림
9,가슴 통증
10,가학증
11,각막 위로 결막 침범
12,각막 이상
13,각질이 딱딱해짐
14,간기능 저하
15,간부전
16,간비대
17,간성뇌증
18,갈색 피부 반점
19,갈증
20,갈퀴족지
21,감각 과민
22,감각 이상
23,감기 증상
24,감전이 됐어요
25,감정 변화
26,갑상선 비대
27,갑상선이 단단해짐
28,강박증
29,개 폐구 장애
30,객혈
31,갱년기 증상
32,거대자궁
33,거대지증
34,거인증
35,거짓 증상 호소
36,거칠어진 피부
37,거품이 섞인 가래
38,거품있는 소변
39,건망증
40,걸핏하면 눈물지음
41,검붉은 색 피부
42,검은 점
43,검은색 가래
44,겨드랑이 멍울
45,겨드랑이 악취
46,격동적 움직임
47,결막염
48,결절
49,경계 불규칙성
50,경련
51,경부 강직
52,경부 림프절병증
53,경부 운동 제한
54,경정맥 확장
55,경직
56,고름
57,고막 충혈
58,고막에 수포형성
59,고산병
60,고음에서의 분열
61,고정된 믿음
62,고탄산증
63,고혈당
64,고혈압
65,고환 멍울
66,고환 불쾌감
67,고환 위축
68,고환에 낭이 만져짐
69,곤봉지
70,골다공증
71,골반 통증
72,골수 내 적혈구의 감소
73,골절
74,골절부 근육의 경직
75,공복감
76,과호흡
77,관련 장기의 일시적 기능장애
78,관음증
79,관절 구축
80,관절 불안정증
81,관절 운동성 감소
82,관절염
83,관절의 경직
84,관절잡음
85,관절통
86,괄약근 기능 이상
87,광과민성
88,광대뼈 위치 이상
89,광시증
90,괴사
91,구각염
92,구강건조
93,구강궤양
94,구강호흡
95,구내염
96,구루병
97,구취
98,구토
99,굳은 살
100,굽은 등
101,권리를 강하게 주장
102,권태감
103,궤양
104,귀 모양의 변형
105,귀 상부가 두피에 매몰됨
106,귀두가 울혈됨
107,귀두의 탈색
108,귀에서 냄새가 남
109,귀의 통증
110,근골격계 이상
111,근긴장의 이상
112,근력 약화
113,근시
114,근위축
115,근육강직
116,근육경련
117,근육긴장
118,근육마비
119,근육의 뒤틀림
120,근육통
121,글자가 휘어져보임
122,금단증상
123,급성 신부전
124,기립성 저혈압
125,기민상태
126,기억장애
127,기운없음
128,기침
129,긴박뇨
130,긴장
131,깨어나면 기억하지 못함
132,나쁜 품행
133,낙상
134,난청
135,남: 9세 전 2차 성징
136,남성스러운 목소리
137,남성의 여성형 유방
138,"납작한 코, 축 쳐진 귀"
139,낭종
140,낮 시간대의 졸음
141,낮은 자존감
142,낮은 지능
143,낮은 학업 성취
144,내분비계이상
145,넓은 미간
146,노란 이물질
147,노출증
148,놀란표정
149,놀람반사의 약화
150,농신증
151,농약을 먹었어요
152,높아진 자존심
153,뇌부종
154,뇌수종
155,뇌압상승증상
156,뇌염증상
157,뇌전증 발작
158,뇌출혈
159,누공
160,눈 감을 때 번쩍거림
161,눈 사이가 멀어보임
162,눈 주변 부종
163,눈 주위 노란 반점
164,"눈,뺨 주위 작은 낭종"
165,눈가 및 이마 주름
166,눈꺼풀 처짐증
167,눈꺼풀의 떨림
168,눈꺼풀의 살색 돌기
169,눈꼽
170,눈물흘림
171,눈부심
172,눈비빔
173,눈운동신경마비
174,눈의 자극감
175,눈의 충혈
176,눈의 통증
177,눈의 피로
178,눈이 무거운 느낌
179,느린 동공반응
180,늑막삼출
181,다뇨
182,다른 선천성 기형
183,다리 외상
184,다리 통증
185,다리가 잘 안 벌어짐
186,다리변형
187,다리의 길이가 틀림
188,다모증
189,다발성 관절염
190,다발성 장기부전 증상
191,다식
192,다음
193,다지증
194,단백뇨
195,달걀 위에 앉아있는 느낌
196,달모양의 둥근 얼굴
197,닭살
198,담도감염
199,담석
200,당뇨
201,대변에 벌레 관찰됨
202,대비감 감소
203,대사성 산증
204,대인관계 어려움
205,대화에 불쑥 끼어듬
206,더위를 못 견딤
207,덩어리가 만져짐
208,독버섯
209,독초 섭취
210,돌연사
211,동공산대
212,동공이 흰빛으로 반짝임
213,동맥경화
214,동물에게 물렸어요
215,동상
216,동작의 완만
217,동정맥루 잡음 약화
218,두드러기
219,두부 외상
220,두통
221,두피 건조
222,두피 열상
223,딱지
224,딸기혀
225,땀이 잘 나지 않음
226,떨림(진전)
227,락스를 마셨어요
228,레이노이드 현상
229,림프 부종
230,림프절 농양
231,마비
232,마찰음
233,만성 부비동염
234,만성 신부전
235,말단비대
236,말더듬
237,말을 많이 함
238,말초 신경장애
239,말초 통증
240,말초부종
241,말초의 허혈
242,망막 이상
243,망상
244,머리모양 변형
245,멍
246,면역기능 이상
247,면포
248,명치 부위 통증
249,모낭염
250,모발 탈색
251,모발이 가늘어짐
252,모발이 거침
253,목 뒷부분의 지방축적
254,목 주변 부종
255,목소리 변화
256,목의 이물감
257,목의 통증
258,몸살
259,몽유병
260,무감각
261,무관심
262,무균성 뇌막염
263,무논리증
264,무뇨
265,무도증
266,무릎 부위 부종
267,무릎 부위 통증
268,무맥
269,무산소 발작
270,무욕증
271,무월경
272,무의식
273,무의지증
274,무증상
275,무통증
276,무호흡
277,문맥성고혈압
278,물에 빠졌어요
279,물집
280,물집성 표피 박리
281,미각상실
282,미각이상
283,미란
284,미세반점의 군집
285,미소음경(micropenis)
286,민첩성 감소
287,박동성 통증
288,반복되는 폐렴
289,반복적인 동작
290,반사 이상
291,반사회적 인격장애
292,반상출혈
293,반신마비
294,반점
295,발 굴곡 운동의 제한
296,발 안쪽 아치의 소실
297,발가락 사이 갈라짐
298,발가락 피부 벗겨짐
299,발가락의 변형
300,발기부전
301,발끝으로 설 수 없음
302,발바닥 피부 두꺼워짐
303,발육부전
304,발음 이상
305,발의 통증
306,발이 안쪽을 향해 걸음
307,발작적인 울음
308,발적
309,발진
310,발한
311,방광 팽만
312,방사통
313,방아쇠무지
314,방향감각 상실
315,배꼽의 고름 및 피
316,배꼽이 솟음
317,배뇨 시 통증
318,배뇨곤란
319,배뇨장애
320,배변습관의 변화
321,배변장애
322,백혈구 증가
323,뱀에 물렸어요
324,벌에 쏘였어요
325,범죄
326,변비
327,변실금
328,병원 쇼핑
329,병적골절
330,보챔
331,보행이상
332,복벽이 움푹 들어감
333,복부 불편감
334,복부 압박 증상
335,복부 통증
336,복부경련
337,복부비만
338,복부의 박동감
339,복부팽만감
340,복수
341,복시
342,"볼, 눈주위 움푹 꺼짐"
343,볼이 처짐
344,부분적 음순융합
345,부유물이 보임
346,부정교합
347,부정맥
348,분뇨
349,분만 지연
350,분출성 구토
351,분홍색의 반흔
352,불규칙적 진통
353,불규칙한 반흔
354,불규칙호흡
355,불면증
356,불안
357,불임
358,붉고 얇은 피부
359,붉은 색소 침착
360,"비강,목,폐 건조"
361,비관주의
362,비문증
363,비웃는 듯한 표정
364,비장비대
365,비정상적 성적 기호
366,비정상적 질 분비물
367,비정상적 질출혈
368,비정상적인 움직임
369,비정상적인 진통
370,비출혈
371,비현실감
372,빈뇨
373,빈맥
374,빈혈
375,빈호흡
376,빛이나 소리 공포증
377,뻣뻣함
378,뼈 전이
379,뼈의 기형
380,뼈의 변형
381,뼈의 통증
382,뿔 모양의 병변
383,"삐뚤어진 눈, 코, 입"
384,사경
385,사고의 비약
386,사래걸림
387,사마귀 위 털이 많음
388,사망
389,사물이 두개로 보임
390,사물이 찌그러져 보임
391,사시
392,사정이 일찍 됨
393,사지 마비
394,사지 변형
395,사지 부종
396,사지의 창백한 현상
397,사춘기 지연
398,사회성 부족
399,사회적 고립
400,산만함
401,산통
402,산혈증
403,삶에 대한 흥미 상실
404,삼키기 곤란
405,상동적 행동
406,상지 마비
407,상처가 넓어짐
408,상처보다 넓게 자람
409,새가슴
410,색깔이 퇴색해보임
411,색맹
412,색소 침착
413,생리량 감소
414,생리불순
415,생식기 궤양
416,생식기 부종
417,생식기 출혈
418,생식기 통증
419,생식능력 저하
420,서동
421,서맥
422,서호흡
423,설사
424,설염
425,섬망
426,성격의변화
427,성기 끝의 불쾌감
428,성기능 장애
429,성기크기 감소
430,성대 이상
431,성대마비
432,성대부종
433,성생활이 힘듦
434,성선 기능 저하증
435,성욕감퇴
436,성조숙증
437,소변량 감소
438,소변을 볼 수 없음
439,소변이 샘
440,소아기호증
441,소양감
442,소외감
443,소인증
444,소화불량
445,"손, 발 감각 저하"
446,"손,발,겨드랑이 발한"
447,"손,발톱이 갈라짐"
448,"손,발톱이 두꺼워짐"
449,손가락 외상
450,손가락 운동장애
451,손가락 힘이 약해짐
452,손가락으로 밀면 들어감
453,손가락의 변형
454,손떨림
455,손마디가 뻣뻣해짐
456,손마디에서 소리가 남
457,손목에 심한 붓기와 통증
458,손발가락이 6개 이상
459,손발을 계속 움직임
460,손상 부위 출혈
461,손상 부위 통증
462,손상부위 촉각 소실
463,손의 통증
464,쇼크
465,수막자극증상
466,수면 마비
467,수면 무호흡
468,수면 시 땀
469,수면 시작이 어려움
470,수면 유지가 어려움
471,수면 주기의 변화
472,수면 중 보행
473,수면 중 소변을 봄
474,수면 중 이상한 행동
475,수면 후에도 피로함
476,수면장애
477,수유 곤란
478,수정체 이상
479,수포음
480,술에 너무 많이 취했어요
481,숨막히는 느낌
482,스푼형 손톱
483,습관성 유산
484,습진
485,시력 감소
486,시림
487,시신경염
488,시야장애
489,식욕부진
490,식욕증가
491,식후 불쾌감
492,신경 마비
493,신경과민
494,신발 안쪽이 주로 닳음
495,신부전
496,신생아-백색의 결절
497,신장 감소
498,신장 발육부전
499,신증후군
500,실명
501,실신
502,실인증
503,실행증
504,심근손상
505,심방 부정맥
506,심부전
507,심부정맥혈전증
508,심실 부정맥
509,심실세동
510,심염
511,심음 감소
512,심인성 쇼크
513,심잡음
514,심정지
515,심혈관계 증상
516,십이지장궤양
517,아나필락시스
518,아래 눈꺼풀이 불룩함
519,아랫배가 뭉침
520,악성종양발생
521,악취
522,악취가 나는 설사
523,안검내반
524,안검하수
525,안구 이상
526,안구건조
527,안구내 출혈
528,안구돌출
529,안구증대
530,안구진탕
531,안구혼탁
532,안면 변형
533,안면마비
534,안면부 열상
535,안면부 출혈
536,안면통
537,안면홍조
538,안정 시 탈장 사라짐
539,안쪽 발이 튀어 나옴
540,암 부위별로 다름
541,암점
542,압통
543,앞이 뿌옇게 보임
544,애착 상대와 분리 거부
545,야간뇨
546,야뇨증
547,야만적 행위
548,야맹
549,약물남용
550,약시
551,약을 많이 먹었어요
552,양막 유착
553,양무릎사이 벌어짐
554,양반다리로 앉기힘듬
555,양수의 감소
556,양안 상 시각 차이
557,어깨 움직임의 제한
558,어깨 잡음
559,어깨근육 약화
560,어깨의 통증
561,어지러움
562,언어장애
563,얼굴 중심선이 안맞음
564,얼굴 한쪽의 반점
565,얼굴모양변화
566,얼굴부종
567,얼굴에 땀이 남
568,얼굴에 털이 자람
569,얼굴의 나비모양 홍반
570,얼굴이 밋밋함
571,얼굴이 화끈거림
572,얼굴형태의 이상
573,엄지 발가락의 돌출
574,엉덩이 비대칭 주름
575,엉덩이 통증
576,에너지가 적음
577,여: 8세 전 2차 성징
578,여드름
579,연속동작의 느림
580,연탄가스를 마셨어요
581,열
582,열감
583,열수
584,"염산, 황산을 마셨어요"
585,염좌
586,염증 장애에 따라 다양
587,영양 불량
588,옆구리 통증
589,오리걸음
590,오심
591,오한
592,오후 우울감 완화
593,온몸의 잔털
594,온몸이 떨림
595,옷 액와 부분 변색
596,와해된 언어
597,와해된 행동
598,왜곡
599,왜곡된 신체상
600,외부 생식기가 모호함
601,외출 거부
602,요관 폐쇄
603,요도 불쾌감
604,요도가 아랫쪽에 위치
605,요독증
606,요로감염
607,요정체
608,요통
609,우울
610,우유부단함
611,우하복부 통증
612,운동 시 호흡곤란
613,운동 실어증
614,운동장애
615,울퉁불퉁한 상처
616,울혈성 심부전
617,원한
618,"원형, 타원형의 탈모"
619,월경과다
620,위궤양
621,위산의 역류
622,위염
623,위의 연동운동이 보임
624,위장관 출혈
625,위장관의 허혈
626,위축성 질염
627,위험한 행동 반복
628,유두부종
629,유루증
630,유방 크기의 감소
631,유방 통증
632,유방의 과다 성장
633,유방의 멍울
634,유방의 퇴행
635,육아조직
636,음경 강직
637,음경이 휘어짐
638,음낭 부종
639,음낭 통증
640,"음낭에 없는 고환,부고환"
641,음낭이 작아 보임
642,음낭이 잘 발달하지 않음
643,음모가 적거나 없음
644,음성피로
645,음식섭취 거부
646,음핵비대
647,의식 변화
648,의식 불명
649,의식 저하
650,의심
651,이가 시림
652,이마가 넓어짐
653,이마의 주름
654,이명
655,이물감
656,이상지질혈증
657,이상한 소리를 냄
658,이상행동
659,이성의 옷을 착용함
660,이슬
661,이완성 마비
662,이인증
663,이중음성
664,이중턱
665,이폐색감
666,이하선비대
667,인내심이 부족함
668,인설
669,인지장애
670,인후염
671,일사병과 열사병
672,읽기 자체의 문제
673,"읽기,쓰기 능력 부족"
674,읽으려 하지 않음
675,"임신 2, 3기의 오심"
676,임신 오조증
677,임신 주수보다 작은 배
678,임신중 배의 크기가 줄어듦
679,입 주변 부종
680,입수면기의 환각
681,입술 갈라짐
682,"입술, 입천장의 기형"
683,잇몸 위축
684,잇몸염증
685,자궁 수축
686,자궁이 없음
687,자반증
688,자살의 위험
689,자세 불안정
690,자세이상
691,자율신경장애
692,자제력 상실 두려움
693,작열감
694,잔뇨감
695,잔변감
696,장마비
697,장액성 분비물
698,장폐색
699,잦은 감염
700,잦은 딸꾹질
701,잦은 상기도 감염
702,재채기
703,저림
704,저산소증
705,저심박출량
706,저작장애
707,저체온
708,저체중
709,저혈당
710,저혈량 쇼크
711,저혈압
712,적색의 각질화된 피부
713,전신 부종
714,전신 통증
715,전조증상(aura)
716,전해질 불균형
717,점 안에 다른 색 피부
718,점막변화
719,점상 출혈
720,점액변
721,접촉도착증
722,정맥혈전
723,정상적인 성생활 불가능
724,정서 및 행동의 일탈
725,정서장애
726,정서적 둔마
727,정신 지체
728,정신 혼미
729,정체감 혼란 및 변형
730,조급증
731,조절할 수 없는 충동감
732,졸림
733,좁은 공간에서의 불안감
734,좁은 보폭의 걸음걸이
735,종아리 근육의 비대
736,종양부위 부종
737,주먹을 쥐기 힘듬
738,주변시야손상
739,죽음에 대한 공포
740,중심시력감소
741,중이염소견
742,증상의 일중변동
743,지남력 장애
744,지방변
745,지속 발기
746,지속적인 애성
747,지연뇨
748,직무 태만
749,진균감염증
750,진한 소변색
751,질 밖으로 빠지는 느낌
752,질병에 대한 공포
753,질식
754,질에서 소변이 나옴
755,질은 없거나 짧은 맹관
756,질의 건조함
757,질투
758,짓누르는 느낌
759,찌르는 듯한 느낌
760,차갑고 축축한 피부
761,창백
762,척추 측만
763,척추 후만
764,척추와 허리 디스크
765,천명음
766,천식
767,철결핍성 빈혈
768,청각과민
769,청력장애
770,청색증
771,청진시 휘파람 소리
772,체모감소
773,체중감소
774,체중증가
775,초록색 구토
776,초조함
777,촉지자반
778,촉진성 자반증
779,촘촘하게 난 털
780,추위를 못견딤
781,축 늘어짐
782,출혈 경향성
783,충동 조절 어려움
784,충동적 도벽
785,치근단 부위 부종
786,치매
787,치아 벌어짐
788,치아 통증
789,치아 흔들림
790,치아가 솟은 느낌
791,치아발달장애
792,치아의 탈락
793,치주낭형성
794,치핵의 탈출
795,침 분비 증가
796,침침함
797,커지지 않는 자궁
798,코 옆과 입꼬리 주름
799,코가 목뒤로 넘어감
800,코가 삐뚤어짐
801,코골이
802,코막힘
803,코의 기형 동반
804,코의 모공이 커짐
805,코점막건조
806,코플릭 반점
807,콧등이 넓어짐
808,콧물
809,타진과 촉진에 예민
810,탁한 소변
811,탈력발작
812,탈수
813,탈장
814,탈장 돌출
815,탈장 부위의 통증
816,태동의 위치 이상
817,태반의 조기 박리
818,태선화
819,"태아 뼈,근육의 기형"
820,태아 심박동수 이상
821,태아 저체중
822,"태아, 신생아의 기형"
823,"태아, 신생아의 정신 장애"
824,태아의 하강감
825,탯줄의 압박
826,터널시야
827,턱끝이 커보임
828,턱의 통증
829,털이 동반되기도 함
830,토혈
831,통증 없는 부종
832,트림
833,파열부위 오목해짐
834,파열음
835,파종성 혈관내 응고
836,파행
837,판단력장애
838,팔의 길이가 달라짐
839,팔의 통증
840,펴진 귓바퀴
841,편도선 비대
842,편두통
843,편마비
844,편측 사지의 감각소실
845,폐기능저하
846,폐동맥 고혈압
847,폐부종
848,폐색전
849,폐출혈
850,포만감
851,포피가 젖혀지지 않음
852,폭식
853,표준 신장의 3%이하
854,플라크
855,피가 잘 안 멎음
856,피가 정액에 나옴
857,피로감
858,피부 각질
859,피부 건조
860,피부 긴장도 저하
861,피부 및 점막의 염증
862,피부가 두꺼워짐
863,피부경화
864,피부궤양
865,피부균열
866,피부긴장도 저하
867,피부색 변화
868,피부소양감
869,피부염증
870,피부홍조
871,피학증
872,피해망상
873,하악전돌
874,하얀 반점
875,하지 마비
876,하지부종
877,하지의 근력약화
878,학습장애
879,한쪽 입 꼬리의 상승
880,함몰가슴
881,함몰유두
882,합지증
883,항문 통증
884,항문주위 염증
885,항문출혈
886,해파리에 쏘였어요
887,행동장애
888,"허리, 둔부 중심형 비만"
889,헛기침
890,헛배
891,혀끝이 w모양
892,혀의 통증
893,혈관 확장
894,혈뇨
895,혈변
896,혈소판감소
897,혈전증
898,협조장애
899,호기의 증가
900,호르몬변화
901,호흡 화상
902,호흡곤란
903,호흡기감염
904,혼돈
905,혼수
906,홍채가 흔들거림
907,화농성 객담
908,화농성 비루
909,화상
910,환각
911,환미
912,환부 냉감
913,환부 부종
914,환부 통증
915,환부의 분비물
916,환시
917,환청
918,환촉
919,활력징후 이상
920,황달
921,황반부종
922,회색변
923,회음부 불쾌감
924,회음부의 작은 돌기
925,회음부의 파열
926,회피
927,후각 감소
928,후각장애
929,후궁반장
930,후두부종
931,후두신경 마비
932,후두염
933,후비루
934,흉곽 팽윤
935,흉부압박감
936,흉쇄 유돌근의 몽우리
937,흉수
938,흉터
939,흑색변
940,흡수장애
941,흥분
942,희망이 없는 느낌
943,희발월경
