name,content
간성뇌증,간성뇌증 머리    간에 생긴 건강문제로 인해 해독 기능을 할 수 없어 암모니아가 과도하게 축적되어 나타나는 정신 이상 상태
강박증,"강박증 머리    자신의 의지와 상관없이 반복적으로 불안감, 불쾌감 등이 떠올라 특정 행동이나 사고를 반복하는 증상"
건망증,"건망증 머리    기억력에 장애가 생겨 금방 잊어버리거나, 드문 드문 기억하거나 또는 어떤 일정한 시기 이전의 일을 기억하지 못하는 증상"
고산병,"고산병 머리 전신   고산병은 해발 2,440 m 이상의 고지에에 올라갔을 때 산소가 부족해서 발생하는 증상으로 두통, 오심, 구토, 피로, 전신쇠약, 어지럼증, 현기증, 수면장애 등이 발생하게 됩니다. "
광대뼈 위치 이상,광대뼈 위치 이상 머리    뺨과 관자놀이 사이의 광대뼈가 외상에 의해 원래의 위치가 아닌 곳으로 이동한 것
기민상태,"기민상태 머리    자극이 없어도 깨어나고 시각적, 청각적, 촉각적 자극에 즉각 반응하는 상태"
기억장애,기억장애 머리    기억력에 문제가 생겨 잘 기억하지 못하는 상태
깨어나면 기억하지 못함,깨어나면 기억하지 못함 머리    기절이나 수면 이후 이전의 일을 기억하지 못하는 것
"납작한 코, 축 쳐진 귀","납작한 코, 축 쳐진 귀 머리    빈칸"
낮 시간대의 졸음,낮 시간대의 졸음 머리    낮 시간동안 병적으로 잠이 오는 상태
낮은 지능,낮은 지능 머리    빈칸
낮은 학업 성취,낮은 학업 성취 머리    학교 성적이 나빠지거나 지능 발달이 늦음 
내분비계이상,내분비계이상 머리    내분비샘 또는 상위 기관에 생긴 병적 문제로 호르몬 분비 이상이 생긴 상태
놀란표정,놀란표정 머리    눈이 튀어나와 마치 놀란 것 처럼 보이는 것
놀람반사의 약화,놀람반사의 약화 머리    신생아가 소음이나 갑작스런 자극에 대해 놀라거나 팔과 다리를 뻗고 주먹을 꽉 쥐고 포옹을 하듯이 팔을 다시 끌어당기는 행동이 약함 
뇌부종,뇌부종 머리    외상이나 종양 등의 건강문제로 인하여 뇌의 부피가 커진 상태
뇌수종,뇌수종 머리    뇌에 과도한 뇌척수액이 있는 상태
뇌압상승증상,"뇌압상승증상 머리    외상이나 종양,염증 등의 건강문제로 인하여 뇌의 부피가 커지면서 압력이 증가하여 두통, 구토, 오심, 의식장애 등의 증상이 나타나는 상태"
뇌염증상,"뇌염증상 머리    어떤 원인에 의해 두통, 발열, 오한, 구토, 의식 저하, 경련 등의 증상을 보이는 상태"
뇌출혈,뇌출혈 머리    뇌 속에 있는 혈관이 여러가지 원인에 의해 터져서 혈액이 혈관 외부로 유출된 것
달모양의 둥근 얼굴,달모양의 둥근 얼굴 머리    지방의 축적으로 열굴형이 달처럼 둥글어짐
두부 외상,두부 외상 머리    머리를 다쳤어요
두통,두통 머리    머리에서 느껴지는 통증
두피 건조,두피 건조 머리    머리카락 안쪽의 피부가 건조함
두피 열상,두피 열상 머리    머리가 찢어졌어요
만성 부비동염,만성 부비동염 머리    코 옆에 위치한 부비동에 세균이나 바이러스가 침투하여 염증이 발생한 것
머리모양 변형,머리모양 변형 머리    두개골의 모양이 변함
모발 탈색,모발 탈색 머리    모발의 빛이 바램
모발이 가늘어짐,모발이 가늘어짐 머리    머리카락의 굵기가 얇음
모발이 거침,모발이 거침 머리    머리카락이 갈라지거나 손상을 입어 거칠어진 상태
무균성 뇌막염,무균성 뇌막염 머리    세균이 아닌 다른 원인에 의해 뇌수막에 생긴 염증
무의식,무의식 머리    자신의 상태를 스스로 알지 못하는 것
박동성 통증,박동성 통증 머리    머리에 맥박이 뛰는 것 같이 느껴지는 통증
방향감각 상실,"방향감각 상실 머리    좌, 우, 상, 하 의 감각이 없어짐"
"볼, 눈주위 움푹 꺼짐","볼, 눈주위 움푹 꺼짐 머리    피하지방층이 감소하여 눈 주변과 볼살이 꺼진 것처럼 보임"
볼이 처짐,볼이 처짐 머리    볼살이 아래로 쳐진 상태
비웃는 듯한 표정,비웃는 듯한 표정 머리    자신의 의지와 상관없이 안면 근육이 수축되어 비웃는 것과 같은 표정이 지어짐
"삐뚤어진 눈, 코, 입","삐뚤어진 눈, 코, 입 머리    얼굴 가운데 중심선 기준으로 좌우 대칭이 맞지 않는 눈, 코, 입 상태"
수막자극증상,"수막자극증상 머리    뇌를 둘러싸고 있는 막 중 지주막하 공간에 염증이 생긴 경우 나타나는 두통, 열, 구토, 목 부위 경직, 실신 등의 증상"
실인증,실인증 머리    감각 기관의 손상은 없으나 대뇌 일부의 손상으로 대상에 대한 인식이 안되는 상태
실행증,실행증 머리    감각 기관이나 운동 능력에 손상은 없으나 대뇌 일부의 손상으로 지시에 따른 행동이나 운동을 하지 못하는 상태
안면 변형,안면 변형 머리    얼굴 모양이 구조적인 변화가 있음
안면마비,안면마비 머리    어떤 원인에 의해서 얼굴의 근육을 움직이는 안면신경의 기능에 문제가 생겨 얼굴의 마비가 생기는 것
안면부 출혈,안면부 출혈 머리    안면부에 외상이나 염증으로 피가 나는 상태
안면통,안면통 머리    얼굴에서 느껴지는 통증
안면홍조,안면홍조 머리    얼굴이 붉어짐
어지러움,어지러움 머리 전신   실제 정지해 있음에도 불구하고 빙글빙글 도는 듯한 느낌
언어장애,언어장애 머리    외상이나 뇌병변 등의 원인으로 인해 말하는 능력이나 듣고 이해하는 능력에 장애가 생기는 현상
얼굴 중심선이 안맞음,"얼굴 중심선이 안맞음 머리    얼굴이 중심선을 기준으로 좌,우 균형이 맞지 않음"
얼굴 한쪽의 반점,얼굴 한쪽의 반점 머리    얼굴의 한쪽에만 청색이나 흑색의 반점이 있음
얼굴모양변화,"얼굴모양변화 머리    치열 변화, 턱관절 손상 등으로 얼굴의 모양이 변함"
얼굴부종,얼굴부종 머리    얼굴이 부은 상태
얼굴에 땀이 남,얼굴에 땀이 남 머리    얼굴에서 땀이 많이 남
얼굴에 털이 자람,얼굴에 털이 자람 머리    호르몬 분비 이상으로 얼굴에 털의 양이 많아지고 굵어짐
얼굴의 나비모양 홍반,얼굴의 나비모양 홍반 머리    얼굴에 나비모양으로 생긴 적색 반점
얼굴이 밋밋함,얼굴이 밋밋함 머리    얼굴에 굴곡 없이 평평하게 보임
얼굴이 화끈거림,얼굴이 화끈거림 머리    얼굴에 실제로 열감이 있거나 열감이 있는 것처럼 느껴짐
얼굴형태의 이상,얼굴형태의 이상 머리    입술 또는 구개의 기형 등으로 얼굴의 모양이 이상함
운동 실어증,운동 실어증 머리    뇌의 전두엽 부분의 손상으로 듣고 이해할 수 있으나 표현하는 것이 힘든 상태
"원형, 타원형의 탈모","원형, 타원형의 탈모 머리    탈모가 있는 부위가 원형이나 타원형의 형태를 보임"
의식 변화,의식 변화 머리    자기 자신이나 사물에 대하여 인식하는 능력이 여러가지 원인에 의해 변화됨
의식 저하,의식 저하 머리    자기 자신이나 사물에 대하여 인식하는 능력이 감소함
이마가 넓어짐,이마가 넓어짐 머리    머리카락 시작선이 뒤로 물러나 이마의 넓이가 넓게 보임
이마의 주름,이마의 주름 머리    의도적으로 힘을 주지 않아도 관찰할 수 있는 이마에 생긴 주름
이중턱,이중턱 머리    턱 아래가 볼록해진 상태
인지장애,인지장애 머리    뇌손상이나 질환 등 다양한 원인에 의해 사물을 분별하여 인지할 수 있는 기능에 문제가 있는 상태
졸림,졸림 머리    잠이 오는 느낌이나 상태
지남력 장애,"지남력 장애 머리    시간, 장소, 사람에 대한 적절한 인식을 하지 못하는 상태"
짓누르는 느낌,짓누르는 느낌 머리    환부를 강하게 누르는 느낌
치매,"치매 머리    기억, 언어, 판단력 등의 여러 영역의 인지 기능이 감소하여 일상 생활을 제대로 수행하지 못하는 증세"
코 옆과 입꼬리 주름,코 옆과 입꼬리 주름 머리    코의 양 끝에서 입술 끝 언저리까지 여덟팔자 같이 생긴 주름
콧등이 넓어짐,콧등이 넓어짐 머리    콧구멍의 윗 부분이 옆으로 퍼져 넓게 보임
턱끝이 커보임,턱끝이 커보임 머리    턱 끝이 넓어지거나 길이가 길어져 커보임
턱의 통증,"턱의 통증 머리    턱, 관자놀이 부위에서 느껴지는 통증"
편두통,편두통 머리    한쪽 머리에서만 느껴지는 두통
하악전돌,하악전돌 머리    아랫턱이 앞으로 돌출된 상태
학습장애,"학습장애 머리    지능은 정상이지만 듣기, 말하기, 읽기, 쓰기 또는 계산 능력에 심각한 문제가 나타나는 여러 장애를 말함"
혼돈,혼돈 머리    의식상태가 명료하지 못하여 자유의지로 생각하고 결정을 내리기 힘들고 주의를 기울이거나 기억하기 어려운 정신 상태
혼수,"혼수 머리    외부환경과 자극에 의식적으로 반응하지 않고, 자발적인 신경활동이 없어지는 깊은 무의식의 상태"
갑상선 비대,갑상선 비대 목    갑상선이 병적으로 커진 상태
갑상선이 단단해짐,갑상선이 단단해짐 목    갑상선이 건강문제로 인해 단단하게 변함
경부 강직,경부 강직 목    머리를 숙여 턱을 가슴 안쪽으로 붙이지 못하는 증상
경부 림프절병증,경부 림프절병증 목    목 부위에 있는 림프절이 감염이나 기타 악성 종양 등에 의해 커지는 것
경부 운동 제한,경부 운동 제한 목    목의 움직임이 제한됨
경정맥 확장,경정맥 확장 목    목 좌우에 위치한 경정맥이 확장되어 부어보이는 증상
고음에서의 분열,고음에서의 분열 목    소리를 낼 때 높은 음에서 갈라지는 소리가 남
남성스러운 목소리,남성스러운 목소리 목    굵고 낮은 저음의 목소리
덩어리가 만져짐,덩어리가 만져짐 목 배 피부  건강문제가 생긴 부위에 원래 없어야하는 혹이 생겨 손으로 만져지는 상태
목 뒷부분의 지방축적,목 뒷부분의 지방축적 목    목 뒤쪽에 지방이 축적되어 물소혹과 같은 모양을 띰
목 주변 부종,목 주변 부종 목    목부위가 부은 상태
목소리 변화,목소리 변화 목    목소리를 내는 성대에 압박이나 자극으로 목소리에 변화가 생긴 상태
목의 이물감,목의 이물감 목    목 부위에 다른 물질이 있는 듯한 느낌
목의 통증,목의 통증 목    목 주변에서 느껴지는 통증
사경,사경 목    고개가 한쪽으로 당겨져 턱 끝이 다른 쪽으로 향하게 되는 이상 상태
삼키기 곤란,삼키기 곤란 목    씹고 삼키는 능력의 손실 또는 손상으로 먹는 능력이 저하되어 어려움이 있는 상태
성대 이상,성대 이상 목    목소리는 내는 기관이 성대에 문제가 생긴 상태
성대마비,성대마비 목    목소리를 내는 성대 근육의 마비로 쉰목소리를 내거나 소리를 내지 못하는 상태
성대부종,성대부종 목    염증이나 과다 사용으로 목소리를 내는 기관인 성대가 부어있는 것
음성피로,음성피로 목    큰소리를 장시간 내거나 힘을 주어 목소리를 내는 등의 무리했을 때 목소리를 내는데 피로를 느끼는 것
이물감,이물감 목 눈 귀  몸이나 특정 기관에 다른 물질이 들어가 있는 느낌
이중음성,이중음성 목    소리를 내는 성대에 결절이나 염증 등의 원인에 의해 원래의 목소리와 다른 음성이 나오는 것
이하선비대,이하선비대 목    귀 아래 쪽 침샘이 정상보다 커진 상태
인후염,인후염 목    빈칸
잦은 상기도 감염,잦은 상기도 감염 목    바이러스나 세균에 의해 상부 기도에 염증이 자주 발생함
지속적인 애성,지속적인 애성 목    지속적으로 쉰목소리
코가 목뒤로 넘어감,코가 목뒤로 넘어감 목    콧물이 콧구멍을 통해 배출되지 못하고 인두로 넘어감
편도선 비대,편도선 비대 목    인두를 둘러싼 림프조직인 편도선이 커진 상태
후두부종,후두부종 목    후두의 부종
후두신경 마비,"후두신경 마비 목    후두의 발성, 감각, 운동 반사를 담당하는 신경이 기능을 하지 못함"
후두염,후두염 목    후두에 생긴 염증
가래,가래 가슴    기관지나 폐에서 나오는 분비물
가슴 답답,가슴 답답 가슴    가슴 및 명치 부위의 답답한 느낌
가슴 두근거림,가슴 두근거림 가슴    여러가지 원인에 의해 심장이 빨리 뛰는 것처럼 느껴져 불쾌한 기분이 드는 증상
가슴 통증,가슴 통증 가슴    여러가지 원인에 의해 가슴 부위에 나타나는 통증
객혈,객혈 가슴    혈액이 섞인 가래가 기침과 함께 나오는 것
거품이 섞인 가래,거품이 섞인 가래 가슴    기관지나 폐에서 나오는 거품과 같은 분비물
검은색 가래,검은색 가래 가슴    탄가루같은 검은 물질이 섞인 검은색의 가래
겨드랑이 악취,겨드랑이 악취 가슴    겨드랑이에서 나는 나쁜 냄새
과호흡,과호흡 가슴    여러가지 원인에 의해 호흡수가 많아지고 이산화탄소 배출이 증가한 상태
기침,"기침 가슴    기도 분비물이나 외부 먼지, 미생물 등을 제거하기 위해 갑작스럽게 숨을 내뿜는 반사 행동"
늑막삼출,늑막삼출 가슴    폐를 둘러싸고 있는 두겹의 늑막 사이 공간에 액체가 고이는 상태
락스를 마셨어요,락스를 마셨어요 가슴 전신   락스를 마셨어요
무호흡,무호흡 가슴    호흡이 없음
반복되는 폐렴,반복되는 폐렴 가슴    폐렴에 여러 번 반복해서 걸림 
부정맥,부정맥 가슴    정상보다 느리거나 빠르거나 불규칙하게 뛰는 맥박 
불규칙호흡,불규칙호흡 가슴    들숨과 날숨이 불규칙적으로 관찰됨
빈맥,빈맥 가슴    심장이 비정상으로 빨리 뛰는 것
빈호흡,빈호흡 가슴    호흡 횟수가 비정상적으로 증가한 상태
사래걸림,"사래걸림 가슴    기도, 기관지, 폐로 이물질을 들여마셔 나타나는 기침 등의 호흡기 반응"
새가슴,새가슴 가슴    흉골이 기형적으로 과도하게 돌출된 상태
서맥,서맥 가슴    심장박동이 느린 것
서호흡,서호흡 가슴    느린 호흡
수면 무호흡,수면 무호흡 가슴    잠자는 동안에 숨쉬기를 멈추는 것
숨막히는 느낌,숨막히는 느낌 가슴    숨쉬기가 힘든 느낌
심근손상,"심근손상 가슴    외상이나 허혈, 염증 등의 원인에 의해 심장을 구성하는 근육 조직에 손상이 있는 상태"
심방 부정맥,심방 부정맥 가슴    심장은 좌우 두개의 심방과 심실로 구성이 되며 심장 근육의 전기적 자극에 의해 수축과 이완을 한다. 이때 정상 전도로가 아닌 심방 조직에서 전기적 신호가 발생하거나 전달에 이상이 있는 경우를 심방 부정맥이라고 한다.
심부전,심부전 가슴    심장이 정상적으로 기능을 하지 못하는 것
심실 부정맥,심실 부정맥 가슴    심장은 좌우 두개의 심방과 심실로 구성이 되며 심장 근육의 전기적 자극에 의해 수축과 이완을 한다. 이때 정상 전도로가 아닌 심실 조직에서 전기적 신호가 발생하거나 전달에 이상이 있는 경우를 심실 부정맥이라고 한다.
심실세동,심실세동 가슴    하나 이상의 빠르게 흥분하는 이소성 병소들에 의해 심실이 1분에 350~600회의 박동으로 무질서하게 뛰는 상태
심염,"심염 가슴    심장을 구성하는 심내막, 심근, 심외막, 판막 등의 조직에 염증이 생긴 상태"
심음 감소,심음 감소 가슴    심장 청진 시 심장 판막이 닫힐 때 나는 소리가 감소된 상태
심인성 쇼크,심인성 쇼크 가슴    심장 기능이 감소하여 말초순환에 기능 이상이 생긴 상태
심잡음,심잡음 가슴    심장의 혈류가 판막이나 혈관을 지날 때 들리는 비정상적인 소리
심정지,심정지 가슴    심장 박동이 멈춘 상태
"염산, 황산을 마셨어요","염산, 황산을 마셨어요 가슴 전신   염산, 황산을 마셨어요"
운동 시 호흡곤란,운동 시 호흡곤란 가슴    걷거나 운동 시 숨쉬기가 어렵고 힘든 상태
울혈성 심부전,울혈성 심부전 가슴    다양한 원인에 의해 심장이 신체에 필요한 혈액을 충분히 공급하지 못하는 심장 기능 저하 상태
잦은 딸꾹질,잦은 딸꾹질 가슴    횡격막 수축 시 성문이 닫히는 소리인 딸국질이 자주 발생함
저심박출량,저심박출량 가슴    심장 이완 시 심방으로 유입되는 혈액량이 줄어들거나 전체 혈액순환량이 감소하는 등의 원인에 의해 심장 수축 시 박출되는 혈액량이 적은 상태
질식,질식 가슴    기도를 통한 공기의 흐름이 차단되어 폐의 호흡작용에 장애가 온 상태
천명음,천명음 가슴    기도가 좁아져서 숨을 내쉴 때 쌕쌕 또는 그렁그렁하는 호흡음
천식,"천식 가슴    기관지가 좁아져서 숨이 차고, 기침이 나며, 가슴에서 색색거리는 소리가 들리며, 가슴이 답답해지는 증상"
청진시 휘파람 소리,청진시 휘파람 소리 가슴    청진기로 폐 청진시 휘파람 부는 소리가 남
폐기능저하,폐기능저하 가슴    빈칸
폐동맥 고혈압,폐동맥 고혈압 가슴    빈칸
폐부종,폐부종 가슴    폐조직에 지나친 양의 체액이 쌓여 호흡이 곤란해지는 상태
폐색전,폐색전 가슴    정맥에서 형성된 피떡(혈전)이 혈관을 따라 이동하다 폐동맥을 막아 폐순환이 좁아지거나 막힌 상태
폐출혈,폐출혈 가슴    외상이나 폐조직 손상에 의해 폐에 출혈이 있는 상태
함몰가슴,함몰가슴 가슴    갈비뼈의 이상 발달로 흉벽이 움푹 패여 과도하게 함몰된 기형
헛기침,헛기침 가슴    가래를 배출하지 않는 기침. 호흡을 효율적으로 하기 위해 기도의 이물질을 밖으로 배출하려는 방어적 반사작용.
호기의 증가,호기의 증가 가슴    숨을 내쉬는 시간의 증가
호흡곤란,호흡곤란 가슴    숨쉬기 힘듦
호흡기감염,"호흡기감염 가슴    기도, 기관지, 폐 등 호흡기계에 생긴 감염증"
화농성 객담,화농성 객담 가슴    고름 형태의 가래
흉곽 팽윤,흉곽 팽윤 가슴    빈칸
흉부압박감,흉부압박감 가슴    빈칸
흉쇄 유돌근의 몽우리,흉쇄 유돌근의 몽우리 가슴    빈칸
흉수,흉수 가슴    흉막강 사이에 생긴 비정상적으로 고인 액체 
가슴 쓰림,가슴 쓰림 배    위산이 위점막을 자극하여 생기는 명치 부위에 아픈거나 쓰린 느낌
간기능 저하,간기능 저하 배    간의 정상적인 기능이 저하됨
간부전,간부전 배    간에 생긴 건강문제로 인해 단백질 합성 및 대사 등의 정상적인 간 기능을 할 수 없는 상태
간비대,간비대 배    간이 병적으로 커진 상태
공복감,공복감 배    뱃속이 비거나 배가 고픈 느낌
구토,구토 배    위장 속의 내용물이 식도를 거쳐 입 밖으로 나오는 것
급성 신부전,급성 신부전 배    신장 기능이 갑자기 떨어진 상태
농신증,농신증 배    신우 속에 고름이 차 있는 상태
담도감염,담도감염 배    간에서 만들어진 쓸개즙이 이동하는 길인 담도의 감염
담석,"담석 배    담도나 담낭에 콜레스테롤, 담즙 색소, 칼슘염 등의 결정이 덩어리져 생긴 돌처럼 단단한 물질"
만성 신부전,만성 신부전 배    노폐물을 제거하는 신장기능이 감소되어 정상으로 회복될 수 없는 상태
명치 부위 통증,명치 부위 통증 배    명치(윗배)가 아파요
무통증,무통증 배 피부   통증이 없음
문맥성고혈압,문맥성고혈압 배    간으로 이동하는 혈류인 간문맥의 압력이 높아진 상태
배꼽의 고름 및 피,배꼽의 고름 및 피 배    배꼽에 농과 같은 분비물이나 피가 남
배꼽이 솟음,배꼽이 솟음 배    배꼽이 복벽의 높이보다 튀어나옴
복벽이 움푹 들어감,복벽이 움푹 들어감 배    복벽이 움푹 꺼진 상태
복부 불편감,복부 불편감 배    복부의 거북하거나 괴로운 느낌
복부 압박 증상,복부 압박 증상 배    복부가 세게 눌리거나 조이는 듯한 느낌
복부 통증,복부 통증 배    배가 아픈 것
복부경련,복부경련 배    복부 근육이 수축하거나 떨리는 증상 
복부비만,복부비만 배    복부 또는 내장에 과도한 지방이 축적된 상태
복부의 박동감,복부의 박동감 배    복부에서 맥이 뛰는 느낌이 느껴짐
복부팽만감,복부팽만감 배    복부에 가스나 복수가 차서 더부룩하게 부풀어 오르거나 불편함을 느끼는 것
복수,복수 배    혈액 중의 액체성분의 일부가 혈관 벽으로부터 빠져나와 복강 내에 수분이 고여 있는 것
분출성 구토,분출성 구토 배    솟구쳐 뿜어나오는 양상의 구토
비장비대,비장비대 배    비장이 병적으로 커진 상태
산통,산통 배    매우 심한 복부 통증이 갑작스럽게 나타남. 
소화불량,"소화불량 배    음식을 섭취한 후 일어나는 속쓰림, 트림, 구역질, 상복부 불쾌감, 위장의 팽만감, 복통 등의 소화장애 증세"
손가락으로 밀면 들어감,손가락으로 밀면 들어감 배     부위가 손가락으로 밀면 일시적으로 들어감
식후 불쾌감,식후 불쾌감 배    식사 후 복부에 팽만감이나 통증과 같은 불편함이 있음
십이지장궤양,"십이지장궤양 배    십이지장 점막이 헬리코박터균의 감염, 흡연 등 여러가지 원인에 의해 표면 점막층보다 깊이 패여 손상된 상태"
아랫배가 뭉침,아랫배가 뭉침 배    아랫배가 딱딱해짐
악취,악취 배 피부 생식기  환부나 분비물에서 고약한 냄새가 남
안정 시 탈장 사라짐,안정 시 탈장 사라짐 배    누운 상태에서는 불룩 튀어나온 탈장이 보이지 않음
압통,압통 배 팔 다리  눌렀을 때 느껴지는 통증
야뇨증,야뇨증 배    방광의 조절이 가능해야 하는 나이 이후에도 수면 중 무의식중에 소변을 봄
양수의 감소,양수의 감소 배    뱃속 태아의 건강문제나 양막 파열 등 다양한 원인에 의해 양수의 양이 줄어든 상태
옆구리 통증,옆구리 통증 배    가슴과 등 사이의 갈비뼈 부분에서 느껴지는 통증
오심,오심 배    속이 메스꺼워 구토를 할 것 같은 느낌
우하복부 통증,우하복부 통증 배    빈칸
위궤양,위궤양 배    위점막이 헐어 점막뿐만 아니라 근육층까지 침범한 것
위산의 역류,위산의 역류 배    위 식도 연결부위의 괄약근 이상으로 위산이 식도를 통해 거꾸로 올라오는 현상 
위염,위염 배    위 점막에 염증 세포의 침윤이 있는 상태
위의 연동운동이 보임,위의 연동운동이 보임 배    위가 꿈틀거리며 움직이는 것이 육안으로 보임
위장관 출혈,"위장관 출혈 배    식도, 위, 소장 등의 소화기관 안의 출혈이 있어 피를 토하거나 항문을 통해 배설하는 상태"
위장관의 허혈,"위장관의 허혈 배    위, 소장, 대장 등의 위장관에 혈액 공급에 문제가 있어 빈혈 상태에 빠진 것"
"임신 2, 3기의 오심","임신 2, 3기의 오심 배    임신 4~7개월 시의 심한 구역감"
임신 오조증,임신 오조증 배    임신 기간동안 오심이 심함
잔변감,잔변감 배    대변을 보고 난 후에도 대변이 남아있는 느낌
장마비,장마비 배    장의 연동 기능이 없어 움직이지 않는 상태
장폐색,"장폐색 배    소장이나 대장의 일부가 여러 요인에 의해 부분적으로 또는 완전히 막혀서 장의 내용물(음식물, 소화액, 가스)이 앞으로 빠져나가지 못하여, 배변과 가스가 장내에 축적되어 장애를 일으키는 현상"
초록색 구토,초록색 구토 배    구토물의 색이 초록색임
탈장,탈장 배    체내에 존재하는 비정상적인 구멍을 통해 장기의 일부분이 정상적인 위치에서 빠져나가는 것
탈장 돌출,탈장 돌출 배    탈장 부위가 앞으로 솟음
탈장 부위의 통증,탈장 부위의 통증 배    탈장이 있는 부위에서 느껴지는 통증
토혈,토혈 배    빈칸
트림,트림 배    식사나 호흡을 통해 식도로 들어간 공기가 입으로 배출되는 현상
포만감,포만감 배    넘치도록 가득 차 있는 느낌
헛배,헛배 배    배 속에 가스가 차서 배가 불어남
흡수장애,흡수장애 배    장이 음식물에서 영양소를 흡수하지 못함
관절통,"관절통 등 팔 다리  관절이 외상이나 감염, 염증 등에 의해 아픈 증상"
굽은 등,굽은 등 등    상체가 앞쪽으로 숙여져 등이 동그랗게 됨
뼈의 기형,뼈의 기형 등 다리   뼈의 구조나 생김새가 정상과 다른 모양을 보임
요통,요통 등    허리부위에서 다리까지 광범위하게 나타나는 통증
자세이상,자세이상 등 전신   구부정하거나 아장아장 걷는 등의 이상한 자세
척추 측만,척추 측만 등    척추가 옆으로 휨
척추 후만,척추 후만 등    척추가 뒤로 휨
척추와 허리 디스크,척추와 허리 디스크 등    척추 사이 존재하는 섬유륜이 밀려나와 척추 내 신경이 지나가는 통로가 눌려 좁아지는 현상
